Sex,Length,Diameter,Whole weight,Shucked weight,Viscera weight,Shell weight,log_Height,Rings
I,0.44,0.365,0.501,0.2435,0.084,0.1465,0.10885440491208208,9
I,0.445,0.335,0.4895,0.2745,0.086,0.1105,0.09531017980432487,7
I,0.445,0.325,0.378,0.1795,0.1,0.089,0.09531017980432487,7
I,0.45,0.35,0.547,0.245,0.1405,0.1405,0.12221763272424921,8
M,0.47,0.375,0.5805,0.266,0.0935,0.169,0.11332868530700317,8
I,0.475,0.365,0.5465,0.229,0.1185,0.172,0.11778303565638346,9
F,0.48,0.365,0.6395,0.2945,0.113,0.175,0.126632650933366,8
I,0.485,0.355,0.498,0.2175,0.096,0.1525,0.09984533496971613,9
M,0.49,0.385,0.609,0.3065,0.096,0.1775,0.11778303565638346,8
F,0.495,0.41,0.7555,0.3355,0.129,0.214,0.11778303565638346,9
M,0.5,0.4,0.5975,0.27,0.1275,0.166,0.11778303565638346,9
M,0.505,0.44,0.8275,0.3415,0.1855,0.239,0.1310282624064041,8
M,0.525,0.395,0.7635,0.3375,0.1425,0.225,0.12221763272424921,8
M,0.54,0.405,0.891,0.4815,0.1915,0.202,0.11778303565638346,9
F,0.54,0.42,0.805,0.369,0.1725,0.21,0.1310282624064041,11
F,0.545,0.44,0.9185,0.429,0.2015,0.2375,0.126632650933366,10
F,0.55,0.43,0.923,0.4035,0.175,0.283,0.11778303565638346,8
M,0.55,0.45,1.0145,0.407,0.2015,0.2875,0.13976194237515868,10
F,0.55,0.45,0.875,0.362,0.1755,0.2765,0.13976194237515868,10
M,0.555,0.435,0.9685,0.4985,0.168,0.2385,0.13540463700620295,9
M,0.565,0.45,1.0595,0.4735,0.24,0.265,0.14410034397375684,10
M,0.57,0.455,0.952,0.3895,0.2155,0.2745,0.13976194237515868,9
M,0.57,0.435,0.7535,0.349,0.1755,0.194,0.12221763272424921,10
F,0.575,0.465,0.958,0.442,0.1815,0.2705,0.1310282624064041,9
M,0.59,0.475,1.077,0.4545,0.244,0.3095,0.1527210870176639,9
M,0.59,0.46,1.102,0.455,0.2055,0.33,0.12221763272424921,12
F,0.595,0.48,1.11,0.498,0.228,0.33,0.13976194237515868,10
F,0.595,0.48,1.2095,0.5225,0.296,0.32,0.14842000511827327,8
F,0.595,0.475,1.1405,0.547,0.231,0.271,0.14842000511827327,6
F,0.595,0.465,1.113,0.5175,0.244,0.305,0.1310282624064041,12
M,0.6,0.475,1.3445,0.549,0.2875,0.36,0.16126814759612226,11
F,0.6,0.475,1.21,0.653,0.1695,0.3205,0.14410034397375684,10
M,0.6,0.495,1.29,0.606,0.276,0.3445,0.16126814759612226,11
F,0.605,0.475,1.382,0.609,0.2325,0.3985,0.16126814759612226,10
M,0.605,0.455,1.1035,0.421,0.3015,0.325,0.14842000511827327,9
F,0.615,0.5,1.377,0.5585,0.33,0.292,0.16126814759612226,12
F,0.615,0.52,1.3435,0.629,0.2605,0.345,0.13976194237515868,10
M,0.615,0.51,1.296,0.545,0.3315,0.32,0.13976194237515868,9
M,0.615,0.505,1.34,0.5315,0.2815,0.41,0.1527210870176639,12
F,0.62,0.505,1.3725,0.6285,0.275,0.3685,0.14842000511827327,11
M,0.62,0.5,1.307,0.6355,0.2545,0.315,0.1527210870176639,9
F,0.625,0.49,1.2085,0.465,0.162,0.411,0.14410034397375684,11
F,0.625,0.49,1.3825,0.5895,0.285,0.381,0.18232155679395462,11
M,0.63,0.505,1.26,0.4525,0.2755,0.406,0.1527210870176639,14
M,0.635,0.51,1.3555,0.619,0.305,0.39,0.15700374880966475,9
F,0.635,0.5,1.376,0.6495,0.361,0.31,0.13976194237515868,10
F,0.635,0.485,1.2945,0.668,0.2605,0.2715,0.1527210870176639,9
F,0.64,0.51,1.486,0.7595,0.332,0.321,0.1527210870176639,8
M,0.65,0.525,1.4715,0.675,0.315,0.399,0.16126814759612226,11
M,0.655,0.52,1.4095,0.586,0.291,0.405,0.1527210870176639,9
M,0.655,0.58,2.0805,0.959,0.3415,0.27988756983240226,0.1864795669426183,17
M,0.66,0.53,1.3905,0.5905,0.212,0.453,0.15700374880966475,15
M,0.66,0.52,1.558,0.755,0.298,0.4,0.173953307123438,10
F,0.67,0.585,1.0224226985242446,0.5445,0.2945,0.413,0.14842000511827327,10
F,0.675,0.525,1.8095,0.784,0.391,0.455,0.15700374880966475,12
F,0.675,0.525,1.4785,0.628,0.3405,0.42,0.14410034397375684,9
F,0.68,0.56,1.7775,0.861,0.322,0.415,0.178146185383474,11
F,0.685,0.54,1.6675,0.833,0.3775,0.475,0.14842000511827327,11
F,0.695,0.56,1.834,0.8455,0.422,0.455,0.19885085874516517,11
F,0.73,0.595,2.8255,1.1465,0.419,0.897,0.20701416938432612,17
I,0.205,0.14,0.046,0.0165,0.012,0.0135,0.04879016416943201,6
I,0.24,0.175,0.0705,0.025,0.014,0.021,0.05354076692802982,5
I,0.24,0.175,0.0665,0.031,0.0135,0.017,0.06297479916138843,3
I,0.255,0.19,0.083,0.0295,0.0215,0.027,0.04879016416943201,6
I,0.255,0.18,0.083,0.031,0.0215,0.02,0.05354076692802982,4
I,0.265,0.195,0.092,0.0345,0.025,0.0245,0.058268908123975775,6
I,0.28,0.12,0.117,0.0455,0.029,0.0345,0.0723206615796261,4
I,0.295,0.23,0.1625,0.065,0.05,0.0385,0.07696104113612832,5
I,0.3,0.235,0.131,0.05,0.0265,0.043,0.07696104113612832,4
F,0.3,0.23,0.1385,0.056,0.0365,0.037,0.09075436326846414,6
I,0.305,0.22,0.141,0.062,0.031,0.037,0.06765864847381481,5
I,0.315,0.235,0.1485,0.0585,0.0375,0.0425,0.0723206615796261,6
I,0.315,0.23,0.144,0.053,0.0305,0.04,0.06765864847381481,8
I,0.32,0.24,0.1575,0.07,0.0265,0.12803508771929822,0.08617769624105233,5
I,0.325,0.24,0.187,0.0825,0.0445,0.05,0.0723206615796261,6
I,0.33,0.265,0.196,0.0775,0.0305,0.0445,0.08157998699242289,6
I,0.335,0.25,0.1825,0.0705,0.044,0.055,0.0723206615796261,7
I,0.335,0.25,0.186,0.0945,0.038,0.0445,0.0723206615796261,7
I,0.34,0.25,0.1785,0.0665,0.0455,0.045,0.0723206615796261,5
I,0.34,0.25,0.2225,0.104,0.0425,0.055,0.06765864847381481,7
I,0.345,0.265,0.2455,0.111,0.0535,0.065,0.09531017980432487,7
I,0.37,0.29,0.249,0.1045,0.058,0.067,0.09075436326846414,6
I,0.37,0.28,0.2865,0.1505,0.069,0.0795,0.09075436326846414,7
I,0.375,0.28,0.215,0.084,0.06,0.055,0.08617769624105233,6
I,0.385,0.265,0.251,0.124,0.037,0.07,0.07696104113612832,6
I,0.41,0.31,0.339,0.155,0.0695,0.09,0.08617769624105233,7
I,0.41,0.305,0.3535,0.157,0.0745,0.1,0.08617769624105233,7
I,0.41,0.31,0.3335,0.1635,0.061,0.091,0.08617769624105233,6
I,0.415,0.33,0.3595,0.17,0.081,0.09,0.08617769624105233,6
I,0.42,0.32,0.376,0.169,0.092,0.1,0.10885440491208208,5
I,0.42,0.315,0.3435,0.157,0.0795,0.09,0.09531017980432487,6
I,0.425,0.34,0.382,0.164,0.096,0.1,0.09531017980432487,6
I,0.425,0.315,0.377,0.1645,0.072,0.105,0.09531017980432487,6
I,0.43,0.325,0.3645,0.1575,0.0825,0.105,0.09531017980432487,7
I,0.43,0.325,0.425,0.217,0.087,0.095,0.08617769624105233,7
I,0.435,0.3257367149758454,0.3995,0.1815,0.061,0.1125,0.11332868530700317,8
I,0.435,0.34,0.3925,0.1825,0.078,0.1145,0.10885440491208208,6
I,0.44,0.345,0.43063559999999995,0.209,0.0835,0.134,0.12221763272424921,6
I,0.44,0.325,0.35,0.148,0.067,0.105,0.08617769624105233,7
F,0.445,0.335,0.4355,0.2025,0.1095,0.1195,0.10436001532424277,6
I,0.445,0.35,0.4195,0.1695,0.0945,0.1195,0.12221763272424921,7
I,0.45,0.36,0.478,0.191,0.127,0.137,0.12221763272424921,7
I,0.45,0.355,0.4445,0.197,0.093,0.1335,0.09984533496971613,8
I,0.45,0.345,0.47,0.2355,0.0855,0.1135,0.10436001532424277,7
I,0.45,0.335,0.447,0.2335,0.153,0.119,0.09984533496971613,7
I,0.455,0.355,0.5325,0.225,0.126,0.1465,0.11778303565638346,7
I,0.455,0.375,0.497,0.2355,0.1055,0.1295,0.11332868530700317,6
I,0.46,0.36,0.4635,0.2325,0.093,0.115,0.09531017980432487,7
I,0.46,0.345,0.449,0.196,0.0945,0.1265,0.09984533496971613,7
I,0.465,0.365,0.467,0.2315,0.0925,0.113,0.10885440491208208,7
I,0.465,0.37,0.534,0.261,0.098,0.143,0.10885440491208208,7
I,0.465,0.345,0.4415,0.1755,0.0905,0.12,0.10436001532424277,7
F,0.465,0.35,0.482,0.23,0.106,0.1095,0.11778303565638346,6
M,0.47,0.365,0.612,0.327,0.15,0.14,0.11332868530700317,8
F,0.47,0.365,0.582,0.29,0.092,0.146,0.11332868530700317,8
M,0.475,0.37,0.537,0.222,0.1215,0.15,0.11778303565638346,9
F,0.475,0.36,0.5915,0.3245,0.11,0.127,0.11332868530700317,6
M,0.48,0.375,0.6765,0.3205,0.1065,0.17,0.10885440491208208,6
M,0.48,0.385,0.64,0.2925,0.1405,0.1575,0.13540463700620295,6
M,0.48,0.36,0.439,0.194,0.099,0.115,0.09531017980432487,8
M,0.48,0.43833921015514804,0.9825985765124554,0.312,0.117,0.14,0.11332868530700317,7
F,0.485,0.37,0.4785,0.1995,0.0955,0.129,0.10885440491208208,7
M,0.49,0.385,0.649,0.32,0.124,0.1695,0.11778303565638346,8
F,0.495,0.4492524682651622,0.6335,0.3035,0.1295,0.1495,0.126632650933366,8
M,0.495,0.4,0.61,0.272,0.1435,0.144,0.126632650933366,7
M,0.5,0.39,0.6595,0.3145,0.1535,0.1565,0.126632650933366,6
I,0.5,0.385,0.56,0.2835,0.103,0.135,0.11332868530700317,8
F,0.5,0.385,0.6425,0.3195,0.129,0.1535,0.126632650933366,7
M,0.5,0.4,0.6725,0.336,0.12,0.1825,0.11778303565638346,7
F,0.505,0.39,0.674,0.3165,0.141,0.1785,0.12221763272424921,9
I,0.505,0.39,0.685,0.362,0.131,0.156,0.13976194237515868,8
M,0.505,0.41,0.642,0.289,0.133,0.155,0.11778303565638346,9
I,0.505,0.355,0.601,0.25,0.1205,0.185,0.11778303565638346,8
M,0.51,0.39,0.769,0.3935,0.1455,0.19,0.126632650933366,8
I,0.51,0.375,0.5785,0.238,0.1225,0.175,0.09531017980432487,7
I,0.51,0.405,0.769,0.3655,0.1585,0.18,0.126632650933366,7
M,0.51,0.405,0.7035,0.347,0.134,0.1885,0.13976194237515868,8
M,0.51,0.41,0.796,0.3865,0.1815,0.1955,0.13540463700620295,8
F,0.515,0.43,0.834,0.367,0.2,0.23,0.1310282624064041,8
M,0.515,0.39,0.7125,0.3695,0.137,0.155,0.14410034397375684,7
F,0.525,0.415,0.724,0.3475,0.173,0.175,0.1310282624064041,8
M,0.525,0.4,0.9825985765124554,0.334,0.1575,0.17,0.1310282624064041,11
F,0.53,0.425,0.7585,0.325,0.197,0.205,0.12221763272424921,8
F,0.53,0.425,0.8495,0.328,0.232,0.202,0.13976194237515868,8
M,0.53,0.405,0.6515,0.2715,0.1605,0.186,0.11778303565638346,7
F,0.535,0.4,0.8215,0.3935,0.196,0.205,0.126632650933366,8
M,0.535,0.43,0.7165,0.2855,0.1595,0.2155,0.1310282624064041,8
M,0.535,0.435,0.874,0.3735,0.229,0.2195,0.1310282624064041,8
F,0.55,0.445,0.9905,0.544,0.178,0.218,0.14410034397375684,9
F,0.55,0.43,0.8105,0.368,0.161,0.275,0.1310282624064041,9
F,0.56,0.455,0.967,0.4525,0.207,0.274,0.14842000511827327,9
F,0.565,0.4,0.6975,0.3075,0.1665,0.18,0.12221763272424921,8
M,0.57,0.45,1.195,0.5625,0.2565,0.295,0.14410034397375684,10
F,0.57,0.45,1.1935,0.513,0.21,0.343,0.14410034397375684,10
F,0.57,0.455,1.107,0.54,0.255,0.27,0.13976194237515868,8
M,0.57,0.445,1.0635,0.5265,0.2195,0.24,0.1310282624064041,8
M,0.57,0.46,0.9035,0.4075,0.1935,0.214,0.15700374880966475,7
M,0.575,0.475,1.114,0.4955,0.2745,0.29,0.14842000511827327,9
F,0.575,0.46,1.103,0.538,0.221,0.249,0.14842000511827327,9
F,0.58,0.46,1.1155,0.5575,0.2255,0.29,0.13976194237515868,7
F,0.58,0.46,1.0515,0.4095,0.2595,0.276,0.16551443847757338,8
M,0.58,0.455,1.012,0.4985,0.2115,0.2835,0.13976194237515868,10
F,0.58,0.45,1.137,0.5585,0.22,0.29,0.13540463700620295,8
M,0.58,0.49,1.1335,0.586,0.2565,0.237,0.12221763272424921,9
M,0.59,0.465,1.136,0.5245,0.2615,0.275,0.14410034397375684,11
M,0.59,0.47,1.206,0.479,0.2425,0.309,0.14842000511827327,8
F,0.59,0.455,1.063,0.5155,0.2445,0.25,0.13540463700620295,8
F,0.595,0.47,1.121,0.4515,0.178,0.155,0.14410034397375684,11
F,0.595,0.45,1.114,0.5865,0.2205,0.25,0.13976194237515868,11
M,0.595,0.475,1.213,0.621,0.2435,0.274,0.1527210870176639,9
F,0.595,0.4492524682651622,1.0045,0.4655,0.2095,0.2515,0.1310282624064041,9
M,0.595,0.455,1.044,0.518,0.2205,0.27,0.13976194237515868,9
F,0.605,0.49,1.1345,0.5265,0.2645,0.295,0.13976194237515868,9
M,0.605,0.475,1.161,0.572,0.2455,0.275,0.14410034397375684,9
M,0.605,0.47,1.2315,0.6025,0.262,0.2925,0.1527210870176639,11
M,0.61,0.47,1.1625,0.565,0.258,0.3085,0.13976194237515868,11
M,0.61,0.475,1.168,0.554,0.239,0.3295,0.14410034397375684,10
F,0.615,0.48,1.2525,0.585,0.2595,0.33,0.14842000511827327,8
F,0.62,0.51,1.3315,0.594,0.276,0.388,0.16551443847757338,11
F,0.625,0.48,1.3525,0.6235,0.278,0.365,0.15700374880966475,10
M,0.625,0.49,1.3325,0.5705,0.271,0.405,0.16126814759612226,10
F,0.625,0.475,1.1435,0.4755,0.2475,0.349,0.16126814759612226,10
F,0.625,0.5,1.288,0.573,0.3035,0.315,0.1527210870176639,9
F,0.625,0.485,1.38,0.5845,0.302,0.401,0.18232155679395462,9
M,0.63,0.485,1.278,0.637,0.275,0.31,0.14410034397375684,8
F,0.63,0.495,1.3075,0.599,0.284,0.315,0.1527210870176639,11
M,0.63,0.48,1.1785,0.5185,0.248,0.3235,0.13976194237515868,8
M,0.635,0.49,1.375,0.623,0.2705,0.395,0.16126814759612226,11
M,0.635,0.525,1.4065,0.684,0.3,0.3745,0.16974277458709452,10
M,0.64,0.505,1.4025,0.705,0.2655,0.335,0.14410034397375684,10
F,0.64,0.5,1.5175,0.693,0.326,0.409,0.15700374880966475,11
F,0.64,0.4492524682651622,1.394,0.4935,0.291,0.4,0.16126814759612226,10
F,0.645,0.5,1.2205,0.6145,0.236,0.3185,0.14410034397375684,10
M,0.645,0.52,1.636,0.779,0.342,0.432,0.16126814759612226,11
M,0.645,0.52,1.561,0.709,0.3555,0.4,0.16126814759612226,8
F,0.645,0.505,1.4325,0.684,0.308,0.336,0.1527210870176639,8
M,0.645,0.5,1.3385,0.633,0.299,0.349,0.16126814759612226,11
F,0.645,0.5,1.2465,0.5475,0.327,0.3,0.14842000511827327,10
F,0.645,0.515,1.212,0.515,0.2055,0.385,0.13976194237515868,10
M,0.65,0.495,1.304,0.57,0.312,0.3725,0.14842000511827327,9
M,0.65,0.52,1.6785,0.6665,0.308,0.46,0.19062035960864973,11
M,0.65,0.525,1.622,0.6645,0.3225,0.477,0.16974277458709452,10
F,0.655,0.46,1.494,0.6895,0.331,0.1825,0.14842000511827327,9
F,0.655,0.4492524682651622,1.6525,0.8515,0.3365,0.403,0.16126814759612226,10
F,0.66,0.4492524682651622,1.528,0.69,0.3025,0.441,0.16974277458709452,11
M,0.66,0.535,1.5905,0.6425,0.297,0.5175,0.173953307123438,9
M,0.66,0.495,0.9825985765124554,0.594,0.3595,0.485,0.178146185383474,10
F,0.66,0.475,1.3695,0.641,0.294,0.335,0.16551443847757338,6
M,0.67,0.525,1.6085,0.682,0.3145,0.4005,0.1527210870176639,11
F,0.675,0.57,1.587,0.739,0.2995,0.435,0.20294084399669032,10
F,0.675,0.565,1.8375,0.7645,0.3615,0.553,0.178146185383474,12
M,0.68,0.535,1.607,0.7245,0.3215,0.498,0.16974277458709452,12
M,0.69,0.525,1.7005,0.8255,0.362,0.405,0.16126814759612226,8
M,0.69,0.505,1.872,0.893,0.4015,0.48,0.18232155679395462,10
F,0.695,0.535,1.8385,0.8035,0.396,0.503,0.16126814759612226,10
F,0.705,0.535,1.685,0.693,0.42,0.4045,0.16551443847757338,12
M,0.71,0.565,2.198,1.012,0.5225,0.5475,0.1864795669426183,11
F,0.715,0.565,1.9525,0.7645,0.4185,0.4135,0.16126814759612226,10
F,0.715,0.525,1.56,0.6655,0.383,0.405,0.16974277458709452,11
F,0.735,0.6,2.555,1.1335,0.44,0.6,0.19885085874516517,11
M,0.765,0.6,2.302,1.007,0.509,0.6205,0.19885085874516517,12
I,0.185,0.13,0.029,0.012,0.0075,0.0095,0.04401688541677432,4
I,0.195,0.15,0.0375,0.018,0.006,0.011,0.04401688541677432,3
I,0.195,0.135,0.0325,0.0135,0.005,0.0095,0.039220713153281295,4
I,0.2,0.155,0.0435,0.0155,0.009,0.007,0.039220713153281295,4
I,0.225,0.165,0.059,0.027,0.0125,0.015,0.05354076692802982,4
I,0.245,0.18,0.071,0.03,0.013,0.0215,0.06297479916138843,4
I,0.25,0.18,0.0685,0.0245,0.0155,0.0225,0.06297479916138843,5
I,0.265,0.195,0.084,0.0365,0.0175,0.025,0.05354076692802982,7
I,0.275,0.195,0.106,0.054,0.02,0.028,0.06297479916138843,6
I,0.28,0.21,0.1075,0.0415,0.024,0.034,0.08157998699242289,5
F,0.285,0.22,0.096,0.0405,0.0205,0.03,0.06297479916138843,5
I,0.3,0.22,0.1255,0.055,0.0265,0.039,0.07696104113612832,6
I,0.315,0.3257367149758454,0.151,0.065,0.027,0.039,0.05354076692802982,6
I,0.32,0.225,0.1415,0.0675,0.0295,0.0405,0.08157998699242289,6
I,0.34,0.265,0.2015,0.09,0.0475,0.055,0.07696104113612832,5
I,0.37,0.28,0.221,0.1165,0.0265,0.0635,0.09531017980432487,6
I,0.375,0.28,0.2345,0.1125,0.0455,0.067,0.07696104113612832,6
I,0.375,0.275,0.2325,0.1165,0.042,0.065,0.09531017980432487,6
I,0.385,0.29,0.2485,0.122,0.0495,0.065,0.07696104113612832,7
I,0.4,0.32,0.348,0.194,0.053,0.087,0.09075436326846414,6
I,0.405,0.3,0.32,0.172,0.044,0.12803508771929822,0.10436001532424277,7
I,0.41,0.3,0.282,0.1255,0.057,0.0875,0.09531017980432487,7
I,0.41,0.325,0.3245,0.132,0.072,0.106,0.09531017980432487,6
I,0.42,0.3,0.316,0.1255,0.07,0.1035,0.09984533496971613,7
I,0.42,0.32,0.3625,0.174,0.0635,0.105,0.10436001532424277,7
I,0.42,0.31,0.279,0.1255,0.051,0.088,0.09075436326846414,6
I,0.425,0.325,0.3685,0.162,0.0865,0.1045,0.10885440491208208,7
M,0.43,0.335,0.397,0.1985,0.0865,0.1035,0.11332868530700317,7
F,0.435,0.33,0.413,0.2055,0.096,0.096,0.10436001532424277,6
I,0.435,0.345,0.418,0.222,0.0735,0.106,0.10885440491208208,7
I,0.44,0.33,0.3705,0.1545,0.084,0.12,0.10436001532424277,7
I,0.445,0.345,0.409,0.1675,0.1015,0.117,0.09984533496971613,7
I,0.445,0.34,0.434,0.1945,0.0905,0.13,0.13540463700620295,7
I,0.445,0.335,0.411,0.1985,0.0935,0.109,0.10436001532424277,8
I,0.45,0.365,0.462,0.2135,0.0985,0.1315,0.11778303565638346,8
I,0.45,0.34,0.4925,0.241,0.1075,0.12,0.11332868530700317,6
I,0.45,0.33,0.3715,0.1865,0.0785,0.0975,0.09984533496971613,7
I,0.45,0.33,0.411,0.1945,0.1,0.098,0.09531017980432487,6
I,0.45,0.33,0.3685,0.16,0.0885,0.102,0.10436001532424277,6
I,0.46,0.35,0.4155,0.18,0.098,0.1175,0.10885440491208208,7
M,0.47,0.36,0.544,0.27,0.1395,0.129,0.09984533496971613,7
I,0.47,0.38,0.4845,0.211,0.1075,0.142,0.11778303565638346,6
I,0.475,0.35,0.4565,0.206,0.099,0.13,0.10436001532424277,6
I,0.475,0.35,0.4545,0.2165,0.111,0.115,0.09531017980432487,7
F,0.48,0.38,0.6245,0.3395,0.1085,0.1665,0.11778303565638346,8
M,0.49,0.465,0.5225,0.235,0.13,0.141,0.11778303565638346,7
I,0.5,0.375,0.5495,0.248,0.112,0.1585,0.1310282624064041,7
I,0.5,0.375,0.542,0.215,0.116,0.17,0.11332868530700317,9
I,0.5,0.38,0.519,0.2485,0.1135,0.134,0.11778303565638346,8
M,0.5,0.39,0.5215,0.2485,0.117,0.131,0.11778303565638346,6
F,0.505,0.39,0.5445,0.246,0.15,0.1405,0.11778303565638346,7
I,0.51,0.405,0.6795,0.3465,0.1395,0.182,0.11778303565638346,8
F,0.51,0.4,0.545,0.261,0.115,0.1385,0.11778303565638346,6
I,0.51,0.4,0.5575,0.2615,0.1195,0.1525,0.11778303565638346,9
I,0.51,0.38,0.5155,0.215,0.1135,0.166,0.10885440491208208,8
I,0.515,0.385,0.6115,0.3175,0.1265,0.15,0.11778303565638346,8
M,0.52,0.4,0.7765,0.3525,0.1845,0.185,0.13540463700620295,9
I,0.52,0.38,0.5395,0.2295,0.133,0.157,0.126632650933366,8
I,0.52,0.38,0.43063559999999995,0.288,0.1295,0.167,0.11778303565638346,8
F,0.52,0.46,1.0224226985242446,0.523,0.1985,0.254,0.13976194237515868,7
F,0.525,0.4,0.6455,0.325,0.1245,0.17,0.12221763272424921,8
F,0.525,0.4,0.601,0.2625,0.1285,0.1835,0.1310282624064041,9
M,0.525,0.405,0.7555,0.3755,0.1555,0.201,0.11332868530700317,9
I,0.525,0.395,0.608,0.297,0.1395,0.1405,0.11332868530700317,8
I,0.53,0.4,0.617,0.279,0.127,0.19,0.11778303565638346,8
I,0.535,0.39,0.599,0.2595,0.149,0.169,0.11778303565638346,9
I,0.54,0.42,0.6665,0.3125,0.138,0.1895,0.1310282624064041,10
M,0.545,0.39,0.7835,0.4225,0.1815,0.156,0.126632650933366,7
M,0.545,0.41,0.793,0.434,0.1405,0.19,0.11332868530700317,9
M,0.545,0.415,0.82,0.4615,0.127,0.218,0.1310282624064041,9
F,0.55,0.415,0.8145,0.427,0.1855,0.175,0.126632650933366,8
F,0.55,0.43,0.84,0.395,0.195,0.223,0.13976194237515868,8
M,0.55,0.425,0.8315,0.411,0.1765,0.2165,0.13976194237515868,10
M,0.56,0.43,0.8995,0.464,0.1775,0.234,0.13540463700620295,9
M,0.56,0.445,0.8965,0.42,0.2175,0.2215,0.14842000511827327,8
F,0.56,0.44,0.6405,0.336,0.1765,0.245,0.14410034397375684,8
M,0.56,0.415,0.852,0.43,0.1885,0.205,0.13540463700620295,8
M,0.565,0.455,0.9595,0.4565,0.2395,0.23,0.13976194237515868,9
M,0.565,0.435,0.99,0.5795,0.1825,0.206,0.13976194237515868,8
F,0.565,0.45,1.0095,0.447,0.2375,0.2645,0.16126814759612226,9
M,0.57,0.46,1.0375,0.5415,0.2035,0.25,0.13976194237515868,9
F,0.57,0.445,0.8775,0.412,0.217,0.22,0.13540463700620295,8
I,0.57,0.44,0.755,0.3425,0.16,0.224,0.13976194237515868,8
F,0.575,0.46,0.9945,0.466,0.229,0.265,0.13540463700620295,7
F,0.575,0.45,1.068,0.556,0.214,0.2575,0.14842000511827327,10
M,0.575,0.435,0.8455,0.401,0.191,0.222,0.1310282624064041,9
F,0.575,0.47,0.869,0.435,0.197,0.238,0.1527210870176639,9
M,0.575,0.455,0.907,0.4245,0.197,0.26,0.126632650933366,9
I,0.575,0.435,0.805,0.3155,0.2155,0.245,0.12221763272424921,10
M,0.575,0.445,1.0225,0.549,0.2175,0.228,0.15700374880966475,9
M,0.575,0.445,0.847,0.415,0.1945,0.22,0.13540463700620295,9
M,0.58,0.455,1.114,0.4765,0.2155,0.265,0.13976194237515868,8
M,0.58,0.455,1.859,0.945,0.426,0.441,0.178146185383474,9
M,0.58,0.445,0.814,0.3775,0.1915,0.22,0.126632650933366,9
M,0.58,0.45,0.9615,0.486,0.1815,0.253,0.1310282624064041,9
M,0.58,0.43833921015514804,1.0025,0.547,0.1975,0.2295,0.13540463700620295,8
F,0.58,0.45,0.93,0.385,0.246,0.265,0.14410034397375684,9
M,0.585,0.46,0.9335,0.478,0.1825,0.235,0.13540463700620295,9
M,0.585,0.465,0.9555,0.4595,0.236,0.265,0.14842000511827327,7
M,0.59,0.47,0.9955,0.481,0.232,0.24,0.13976194237515868,8
F,0.6,0.475,1.0265,0.485,0.2495,0.2565,0.14842000511827327,9
M,0.6,0.455,1.1915,0.696,0.2395,0.24,0.15700374880966475,8
F,0.6,0.465,1.1025,0.5455,0.262,0.25,0.13976194237515868,8
M,0.6,0.465,1.0165,0.512,0.2465,0.225,0.14410034397375684,10
F,0.605,0.47,1.1775,0.611,0.2275,0.292,0.1527210870176639,9
M,0.605,0.475,1.1175,0.555,0.257,0.274,0.1310282624064041,9
M,0.605,0.48,1.1835,0.582,0.2365,0.317,0.15700374880966475,10
F,0.605,0.475,1.056,0.433,0.2195,0.357,0.1527210870176639,9
M,0.61,0.485,1.0145,0.5315,0.212,0.2415,0.14842000511827327,8
M,0.61,0.485,1.3305,0.783,0.2255,0.2865,0.13540463700620295,9
M,0.61,0.47,1.052,0.498,0.242,0.267,0.1527210870176639,9
M,0.615,0.46,1.0565,0.4815,0.272,0.27,0.15700374880966475,10
F,0.615,0.4492524682651622,0.923,0.4615,0.1825,0.2415,0.13976194237515868,9
F,0.615,0.475,1.027,0.447,0.25,0.285,0.14410034397375684,9
M,0.62,0.47,0.9825985765124554,0.5315,0.2005,0.2475,0.126632650933366,8
M,0.62,0.45,0.858,0.4285,0.1525,0.2405,0.18232155679395462,8
F,0.62,0.48,1.1125,0.5635,0.2445,0.281,0.14842000511827327,8
F,0.625,0.485,1.3745,0.7335,0.2715,0.332,0.16126814759612226,9
M,0.625,0.48,1.2065,0.587,0.29,0.286,0.16974277458709452,8
M,0.63,0.47,1.1325,0.589,0.211,0.287,0.14410034397375684,8
M,0.63,0.5,1.2645,0.5635,0.3065,0.3425,0.16126814759612226,10
F,0.635,0.495,1.1565,0.5115,0.308,0.2885,0.014888612493750656,9
M,0.64,0.515,1.369,0.632,0.3415,0.358,0.1527210870176639,10
M,0.645,0.53,1.39,0.6465,0.2945,0.3735,0.178146185383474,10
F,0.645,0.48,1.1345,0.528,0.254,0.305,0.15700374880966475,10
F,0.65,0.5,1.464,0.6415,0.339,0.4245,0.173953307123438,9
M,0.65,0.5,1.202,0.565,0.3135,0.294,0.14410034397375684,11
M,0.655,0.515,1.31,0.553,0.369,0.345,0.14842000511827327,11
F,0.655,0.4492524682651622,1.415,0.5885,0.3725,0.29513775156141564,0.16126814759612226,10
F,0.66,0.53,1.346,0.546,0.2705,0.476,0.16974277458709452,11
M,0.665,0.525,1.363,0.629,0.279,0.34,0.14842000511827327,8
I,0.665,0.5,1.2975,0.6035,0.291,0.3595,0.15700374880966475,9
F,0.67,0.505,1.3645,0.6075,0.3025,0.353,0.1864795669426183,9
F,0.685,0.54,1.7025,0.664,0.3655,0.4735,0.1947440767925118,14
M,0.685,0.52,1.519,0.699,0.3685,0.4,0.1527210870176639,10
F,0.69,0.54,1.454,0.624,0.3105,0.39,0.14410034397375684,9
